gene_id	GO_terms_en	KEGG_pathways_en
ABBFA_000011	"molecular_function (GO:0003674); binding (GO:0005488); iron ion binding (GO:0005506); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); generation of precursor metabolites and energy (GO:0006091); sulfur compound metabolic process (GO:0006790); obsolete nitrogen compound metabolic process (GO:0006807); biological_process (GO:0008150); metabolic process (GO:0008152); aerobic respiration (GO:0009060); anaerobic respiration (GO:0009061); cellular process (GO:0009987); gene expression (GO:0010467); energy derivation by oxidation of organic compounds (GO:0015980); cellular component organization (GO:0016043); iron-sulfur cluster assembly (GO:0016226); protein metabolic process (GO:0019538); cellular component assembly (GO:0022607); metallo-sulfur cluster assembly (GO:0031163); ion binding (GO:0043167); cation binding (GO:0043169); macromolecule metabolic process (GO:0043170); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); cellular respiration (GO:0045333); metal ion binding (GO:0046872); transition metal ion binding (GO:0046914); obsolete cofactor binding (GO:0048037); obsolete cofactor metabolic process (GO:0051186); iron-sulfur cluster binding (GO:0051536); 2 iron, 2 sulfur cluster binding (GO:0051537); 4 iron, 4 sulfur cluster binding (GO:0051539); metal cluster binding (GO:0051540); protein maturation (GO:0051604); obsolete oxidation-reduction process (GO:0055114); obsolete organic substance metabolic process (GO:0071704); cellular component organization or biogenesis (GO:0071840); obsolete organonitrogen compound metabolic process (GO:1901564)"	
ABBFA_000012		
ABBFA_000013	"molecular_function (GO:0003674); catalytic activity (GO:0003824); phosphorus metabolic process (GO:0006793); phosphate-containing compound metabolic process (GO:0006796); biological_process (GO:0008150); metabolic process (GO:0008152); cellular process (GO:0009987); kinase activity (GO:0016301); phosphorylation (GO:0016310); transferase activity (GO:0016740); transferase activity, transferring phosphorus-containing groups (GO:0016772); obsolete cellular metabolic process (GO:0044237)"	
tyrS	"molecular_function (GO:0003674); catalytic activity (GO:0003824); aminoacyl-tRNA ligase activity (GO:0004812); tyrosine-tRNA ligase activity (GO:0004831); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); obsolete organic acid metabolic process (GO:0006082); nucleobase-containing compound metabolic process (GO:0006139); tRNA metabolic process (GO:0006399); translation (GO:0006412); tRNA aminoacylation for protein translation (GO:0006418); tyrosyl-tRNA aminoacylation (GO:0006437); peptide metabolic process (GO:0006518); amino acid metabolic process (GO:0006520); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); gene expression (GO:0010467); RNA metabolic process (GO:0016070); ligase activity (GO:0016874); ligase activity, forming carbon-oxygen bonds (GO:0016875); protein metabolic process (GO:0019538); carboxylic acid metabolic process (GO:0019752); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); obsolete ncRNA metabolic process (GO:0034660); amino acid activation (GO:0043038); tRNA aminoacylation (GO:0043039); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); oxoacid metabolic process (GO:0043436); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); small molecule metabolic process (GO:0044281); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); obsolete heterocycle metabolic process (GO:0046483); obsolete organic substance metabolic process (GO:0071704); nucleic acid metabolic process (GO:0090304); catalytic activity, acting on RNA (GO:0140098); catalytic activity, acting on a tRNA (GO:0140101); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576)"	ko00970; Aminoacyl-tRNA biosynthesis (map00970)
ABBFA_000015		
ABBFA_000019		ko00480; ko00980; ko00982; ko00983; ko01524; ko05200; ko05204; ko05225; ko05418; Glutathione metabolism (map00480); Metabolism of xenobiotics by cytochrome P450 (map00980); Drug metabolism - cytochrome P450 (map00982); Drug metabolism - other enzymes (map00983); Platinum drug resistance (map01524); Pathways in cancer (map05200); Chemical carcinogenesis - DNA adducts (map05204); Hepatocellular carcinoma (map05225); Fluid shear stress and atherosclerosis (map05418)
ABBFA_000022	molecular_function (GO:0003674); transporter activity (GO:0005215); cellular_component (GO:0005575); obsolete cell (GO:0005623); plasma membrane (GO:0005886); GO:0005887; membrane (GO:0016020); GO:0016021; obsolete intrinsic component of membrane (GO:0031224); obsolete intrinsic component of plasma membrane (GO:0031226); obsolete membrane part (GO:0044425); obsolete plasma membrane part (GO:0044459); obsolete cell part (GO:0044464); cell periphery (GO:0071944)	
ABBFA_000023		
sun	"rRNA modification (GO:0000154); RNA methylation (GO:0001510); molecular_function (GO:0003674); catalytic activity (GO:0003824); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); nucleobase-containing compound metabolic process (GO:0006139); rRNA processing (GO:0006364); RNA processing (GO:0006396); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); biological_process (GO:0008150); metabolic process (GO:0008152); methyltransferase activity (GO:0008168); C-methyltransferase activity (GO:0008169); RNA methyltransferase activity (GO:0008173); rRNA methyltransferase activity (GO:0008649); S-adenosylmethionine-dependent methyltransferase activity (GO:0008757); rRNA (cytosine-C5-)-methyltransferase activity (GO:0009383); RNA modification (GO:0009451); cellular process (GO:0009987); gene expression (GO:0010467); RNA metabolic process (GO:0016070); rRNA metabolic process (GO:0016072); rRNA (cytosine) methyltransferase activity (GO:0016434); transferase activity (GO:0016740); transferase activity, transferring one-carbon groups (GO:0016741); ribonucleoprotein complex biogenesis (GO:0022613); rRNA methylation (GO:0031167); methylation (GO:0032259); obsolete ncRNA processing (GO:0034470); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete ncRNA metabolic process (GO:0034660); ribosome biogenesis (GO:0042254); macromolecule metabolic process (GO:0043170); macromolecule modification (GO:0043412); macromolecule methylation (GO:0043414); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular macromolecule metabolic process (GO:0044260); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); obsolete heterocycle metabolic process (GO:0046483); rRNA base methylation (GO:0070475); obsolete organic substance metabolic process (GO:0071704); cellular component organization or biogenesis (GO:0071840); nucleic acid metabolic process (GO:0090304); catalytic activity, acting on RNA (GO:0140098); catalytic activity, acting on a rRNA (GO:0140102); obsolete organic cyclic compound metabolic process (GO:1901360)"	
fmt	"molecular_function (GO:0003674); catalytic activity (GO:0003824); methionyl-tRNA formyltransferase activity (GO:0004479); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); obsolete organic acid metabolic process (GO:0006082); nucleobase-containing compound metabolic process (GO:0006139); RNA processing (GO:0006396); tRNA metabolic process (GO:0006399); tRNA modification (GO:0006400); translation (GO:0006412); translational initiation (GO:0006413); tRNA aminoacylation for protein translation (GO:0006418); methionyl-tRNA aminoacylation (GO:0006431); GO:0006464; peptide metabolic process (GO:0006518); amino acid metabolic process (GO:0006520); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); tRNA processing (GO:0008033); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); RNA modification (GO:0009451); cellular process (GO:0009987); gene expression (GO:0010467); RNA metabolic process (GO:0016070); transferase activity (GO:0016740); transferase activity, transferring one-carbon groups (GO:0016741); hydroxymethyl-, formyl- and related transferase activity (GO:0016742); protein metabolic process (GO:0019538); carboxylic acid metabolic process (GO:0019752); charged-tRNA amino acid modification (GO:0019988); obsolete ncRNA processing (GO:0034470); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); obsolete ncRNA metabolic process (GO:0034660); protein modification process (GO:0036211); amino acid activation (GO:0043038); tRNA aminoacylation (GO:0043039); peptide biosynthetic process (GO:0043043); macromolecule metabolic process (GO:0043170); macromolecule modification (GO:0043412); oxoacid metabolic process (GO:0043436); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); small molecule metabolic process (GO:0044281); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); obsolete heterocycle metabolic process (GO:0046483); obsolete organic substance metabolic process (GO:0071704); conversion of methionyl-tRNA to N-formyl-methionyl-tRNA (GO:0071951); nucleic acid metabolic process (GO:0090304); catalytic activity, acting on RNA (GO:0140098); catalytic activity, acting on a tRNA (GO:0140101); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576)"	ko00670; ko00970; One carbon pool by folate (map00670); Aminoacyl-tRNA biosynthesis (map00970)
ilvD		"ko00290; ko00770; ko01100; ko01110; ko01130; ko01210; ko01230; Valine, leucine and isoleucine biosynthesis (map00290); Pantothenate and CoA biosynthesis (map00770); Metabolic pathways (map01100); Biosynthesis of secondary metabolites (map01110); map01130; 2-Oxocarboxylic acid metabolism (map01210); Biosynthesis of amino acids (map01230)"
ABBFA_000027		
ABBFA_000028		
ABBFA_000029		
ABBFA_000030	molecular_function (GO:0003674); transporter activity (GO:0005215); pyrimidine nucleobase transmembrane transporter activity (GO:0005350); cellular_component (GO:0005575); obsolete cell (GO:0005623); plasma membrane (GO:0005886); GO:0005887; nucleobase-containing compound metabolic process (GO:0006139); pyrimidine nucleobase metabolic process (GO:0006206); pyrimidine nucleobase catabolic process (GO:0006208); uracil catabolic process (GO:0006212); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); transport (GO:0006810); xenobiotic transmembrane transport (GO:0006855); biological_process (GO:0008150); metabolic process (GO:0008152); catabolic process (GO:0009056); nucleobase metabolic process (GO:0009112); cellular process (GO:0009987); nucleobase transmembrane transporter activity (GO:0015205); uracil transmembrane transporter activity (GO:0015210); GO:0015238; nucleobase transport (GO:0015851); pyrimidine nucleobase transport (GO:0015855); uracil transport (GO:0015857); GO:0015893; membrane (GO:0016020); GO:0016021; GO:0017144; uracil metabolic process (GO:0019860); transmembrane transporter activity (GO:0022857); obsolete intrinsic component of membrane (GO:0031224); obsolete intrinsic component of plasma membrane (GO:0031226); obsolete cellular nitrogen compound metabolic process (GO:0034641); response to chemical (GO:0042221); GO:0042493; GO:0042737; obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular catabolic process (GO:0044248); obsolete cellular nitrogen compound catabolic process (GO:0044270); small molecule metabolic process (GO:0044281); obsolete membrane part (GO:0044425); obsolete plasma membrane part (GO:0044459); obsolete cell part (GO:0044464); nucleobase catabolic process (GO:0046113); obsolete heterocycle metabolic process (GO:0046483); obsolete heterocycle catabolic process (GO:0046700); response to stimulus (GO:0050896); localization (GO:0051179); establishment of localization (GO:0051234); transmembrane transport (GO:0055085); nucleobase-containing small molecule metabolic process (GO:0055086); obsolete organic substance transport (GO:0071702); obsolete organic substance metabolic process (GO:0071704); nitrogen compound transport (GO:0071705); cell periphery (GO:0071944); pyrimidine-containing compound metabolic process (GO:0072527); pyrimidine-containing compound catabolic process (GO:0072529); pyrimidine-containing compound transmembrane transport (GO:0072531); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organic cyclic compound catabolic process (GO:1901361); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound catabolic process (GO:1901565); obsolete organic substance catabolic process (GO:1901575); uracil transmembrane transport (GO:1903791); pyrimidine nucleobase transmembrane transport (GO:1904082)	
ABBFA_000031	molecular_function (GO:0003674); catalytic activity (GO:0003824); phosphoenolpyruvate carboxykinase activity (GO:0004611); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); obsolete organic acid metabolic process (GO:0006082); generation of precursor metabolites and energy (GO:0006091); tricarboxylic acid cycle (GO:0006099); citrate metabolic process (GO:0006101); biological_process (GO:0008150); metabolic process (GO:0008152); phosphoenolpyruvate carboxylase activity (GO:0008964); aerobic respiration (GO:0009060); cellular process (GO:0009987); energy derivation by oxidation of organic compounds (GO:0015980); lyase activity (GO:0016829); carbon-carbon lyase activity (GO:0016830); carboxy-lyase activity (GO:0016831); antibiotic metabolic process (GO:0016999); GO:0017144; carboxylic acid metabolic process (GO:0019752); oxoacid metabolic process (GO:0043436); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); small molecule metabolic process (GO:0044281); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); cellular respiration (GO:0045333); obsolete oxidation-reduction process (GO:0055114); obsolete organic substance metabolic process (GO:0071704); tricarboxylic acid metabolic process (GO:0072350)	ko00620; ko00680; ko00710; ko00720; ko01100; ko01120; ko01200; Pyruvate metabolism (map00620); Methane metabolism (map00680); Carbon fixation by Calvin cycle (map00710); Other carbon fixation pathways (map00720); Metabolic pathways (map01100); Microbial metabolism in diverse environments (map01120); Carbon metabolism (map01200)
ABBFA_000032		
ABBFA_000033		ko02020; Two-component system (map02020)
ABBFA_000034		ko01501; ko01503; beta-Lactam resistance (map01501); Cationic antimicrobial peptide (CAMP) resistance (map01503)
ABBFA_000035		
dnaJ	protein folding (GO:0006457); biological_process (GO:0008150); cellular process (GO:0009987)	
ABBFA_000037		
dapB	"molecular_function (GO:0003674); catalytic activity (GO:0003824); binding (GO:0005488); protein binding (GO:0005515); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); obsolete organic acid metabolic process (GO:0006082); amino acid metabolic process (GO:0006520); obsolete lysine metabolic process (GO:0006553); obsolete nitrogen compound metabolic process (GO:0006807); biological_process (GO:0008150); metabolic process (GO:0008152); amino acid biosynthetic process (GO:0008652); 4-hydroxy-tetrahydrodipicolinate reductase activity (GO:0008839); biosynthetic process (GO:0009058); obsolete aspartate family amino acid metabolic process (GO:0009066); aspartate family amino acid biosynthetic process (GO:0009067); L-lysine biosynthetic process (GO:0009085); obsolete L-lysine biosynthetic process via diaminopimelate (GO:0009089); cellular process (GO:0009987); obsolete organic acid biosynthetic process (GO:0016053); oxidoreductase activity (GO:0016491); oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627); oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628); carboxylic acid metabolic process (GO:0019752); obsolete diaminopimelate biosynthetic process (GO:0019877); identical protein binding (GO:0042802); oxoacid metabolic process (GO:0043436); dicarboxylic acid metabolic process (GO:0043648); dicarboxylic acid biosynthetic process (GO:0043650); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); small molecule metabolic process (GO:0044281); small molecule biosynthetic process (GO:0044283); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); carboxylic acid biosynthetic process (GO:0046394); obsolete diaminopimelate metabolic process (GO:0046451); obsolete oxidation-reduction process (GO:0055114); obsolete organic substance metabolic process (GO:0071704); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); alpha-amino acid metabolic process (GO:1901605); alpha-amino acid biosynthetic process (GO:1901607)"	ko00261; ko00300; ko01100; ko01110; ko01120; ko01130; ko01230; Monobactam biosynthesis (map00261); Lysine biosynthesis (map00300); Metabolic pathways (map01100); Biosynthesis of secondary metabolites (map01110); Microbial metabolism in diverse environments (map01120); map01130; Biosynthesis of amino acids (map01230)
ABBFA_000039		
ABBFA_000040	cellular_component (GO:0005575); obsolete cell (GO:0005623); plasma membrane (GO:0005886); membrane (GO:0016020); obsolete cell part (GO:0044464); cell periphery (GO:0071944)	
ABBFA_000041	"molecular_function (GO:0003674); catalytic activity (GO:0003824); obsolete aldo-keto reductase (NADPH) activity (GO:0004033); aldehyde metabolic process (GO:0006081); biological_process (GO:0008150); metabolic process (GO:0008152); catabolic process (GO:0009056); methylglyoxal metabolic process (GO:0009438); cellular process (GO:0009987); oxidoreductase activity (GO:0016491); oxidoreductase activity, acting on CH-OH group of donors (GO:0016614); oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616); ketone metabolic process (GO:0042180); ketone catabolic process (GO:0042182); obsolete cellular metabolic process (GO:0044237); obsolete cellular catabolic process (GO:0044248); small molecule metabolic process (GO:0044281); small molecule catabolic process (GO:0044282); aldehyde catabolic process (GO:0046185); aryl-alcohol dehydrogenase (NADP+) activity (GO:0047681); methylglyoxal catabolic process (GO:0051596); obsolete oxidation-reduction process (GO:0055114); obsolete organic substance metabolic process (GO:0071704); obsolete organic substance catabolic process (GO:1901575); methylglyoxal reductase (NADPH) (acetol producing) activity (GO:1990002)"	
ABBFA_000042	nucleobase-containing compound metabolic process (GO:0006139); DNA-templated transcription (GO:0006351); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); response to radiation (GO:0009314); response to abiotic stimulus (GO:0009628); cellular process (GO:0009987); response to ionizing radiation (GO:0010212); gene expression (GO:0010467); RNA metabolic process (GO:0016070); obsolete heterocycle biosynthetic process (GO:0018130); obsolete aromatic compound biosynthetic process (GO:0019438); RNA biosynthetic process (GO:0032774); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); nucleobase-containing compound biosynthetic process (GO:0034654); macromolecule metabolic process (GO:0043170); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); obsolete cellular nitrogen compound biosynthetic process (GO:0044271); obsolete heterocycle metabolic process (GO:0046483); response to stimulus (GO:0050896); obsolete organic substance metabolic process (GO:0071704); nucleic acid metabolic process (GO:0090304); obsolete nucleic acid-templated transcription (GO:0097659); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organic cyclic compound biosynthetic process (GO:1901362); obsolete organic substance biosynthetic process (GO:1901576)	
ABBFA_000043		
ABBFA_000044		
ABBFA_000045	"molecular_function (GO:0003674); catalytic activity (GO:0003824); obsolete aldo-keto reductase (NADPH) activity (GO:0004033); binding (GO:0005488); alcohol dehydrogenase (NADP+) activity (GO:0008106); biological_process (GO:0008150); metabolic process (GO:0008152); zinc ion binding (GO:0008270); oxidoreductase activity (GO:0016491); oxidoreductase activity, acting on CH-OH group of donors (GO:0016614); oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616); ion binding (GO:0043167); cation binding (GO:0043169); metal ion binding (GO:0046872); transition metal ion binding (GO:0046914); obsolete oxidation-reduction process (GO:0055114)"	
ABBFA_000046		ko03410; Base excision repair (map03410)
ABBFA_000047		
ABBFA_000048		
mutY	molecular_function (GO:0003674); catalytic activity (GO:0003824); nucleobase-containing compound metabolic process (GO:0006139); DNA metabolic process (GO:0006259); DNA repair (GO:0006281); base-excision repair (GO:0006284); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); response to stress (GO:0006950); DNA damage response (GO:0006974); biological_process (GO:0008150); metabolic process (GO:0008152); cellular process (GO:0009987); hydrolase activity (GO:0016787); cellular response to stress (GO:0033554); obsolete cellular nitrogen compound metabolic process (GO:0034641); macromolecule metabolic process (GO:0043170); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular macromolecule metabolic process (GO:0044260); obsolete heterocycle metabolic process (GO:0046483); response to stimulus (GO:0050896); cellular response to stimulus (GO:0051716); obsolete organic substance metabolic process (GO:0071704); nucleic acid metabolic process (GO:0090304); obsolete organic cyclic compound metabolic process (GO:1901360)	ko03410; Base excision repair (map03410)
ABBFA_000050		
ABBFA_000051		
ABBFA_000052		
ABBFA_000053		
ABBFA_000054		
